### var1 :  abs(ph_sc_eta) 
### var2 :  ph_et 
  +0.000	  +0.800	+125.000	+200.000	0.910	0.003	0.895	0.003	0.903	0.909	0.890	0.895
  +0.800	  +1.566	+125.000	+200.000	0.814	0.005	0.817	0.004	0.815	0.811	0.815	0.814
  +1.566	  +2.500	+125.000	+200.000	0.796	0.005	0.788	0.005	0.792	0.791	0.782	0.790
  +0.000	  +0.800	+200.000	+300.000	0.912	0.007	0.908	0.004	0.901	0.908	0.899	0.909
  +0.800	  +1.566	+200.000	+300.000	0.872	0.009	0.874	0.006	0.869	0.871	0.875	0.874
  +1.566	  +2.500	+200.000	+300.000	0.815	0.014	0.816	0.010	0.816	0.815	0.818	0.810
  +0.000	  +0.800	+300.000	+400.000	0.922	0.013	0.909	0.006	0.926	0.926	0.906	0.907
  +0.800	  +1.566	+300.000	+400.000	0.905	0.019	0.911	0.007	0.896	0.909	0.909	0.912
  +1.566	  +2.500	+300.000	+400.000	0.830	0.028	0.836	0.016	0.836	0.840	0.829	0.840
  +0.000	  +0.800	+400.000	+500.000	0.918	0.024	0.921	0.008	0.924	0.933	0.889	0.921
  +0.800	  +1.566	+400.000	+500.000	0.882	0.033	0.913	0.007	0.873	0.892	0.912	0.910
  +1.566	  +2.500	+400.000	+500.000	0.821	0.052	0.832	0.019	0.836	0.849	0.871	0.836
  +0.000	  +0.800	+500.000	+1000.000	0.934	0.029	0.922	0.005	0.923	0.934	0.901	0.921
  +0.800	  +1.566	+500.000	+1000.000	0.831	0.049	0.899	0.009	0.843	0.906	0.903	0.899
  +1.566	  +2.500	+500.000	+1000.000	0.735	0.098	0.862	0.017	0.744	0.739	0.880	0.875
