### var1 :  abs(ph_sc_eta) 
### var2 :  ph_et 
  +0.000	  +0.800	+125.000	+200.000	0.916	0.002	0.901	0.001	0.916	0.912	0.912	0.899
  +0.800	  +1.566	+125.000	+200.000	0.826	0.005	0.823	0.003	0.824	0.822	0.839	0.823
  +1.566	  +2.500	+125.000	+200.000	0.843	0.006	0.851	0.003	0.843	0.840	0.842	0.851
  +0.000	  +0.800	+200.000	+300.000	0.921	0.008	0.896	0.001	0.910	0.922	0.921	0.896
  +0.800	  +1.566	+200.000	+300.000	0.876	0.011	0.862	0.001	0.875	0.891	0.890	0.863
  +1.566	  +2.500	+200.000	+300.000	0.853	0.012	0.838	0.002	0.858	0.861	0.859	0.838
  +0.000	  +0.800	+300.000	+400.000	0.932	0.015	0.917	0.001	0.929	0.944	0.921	0.917
  +0.800	  +1.566	+300.000	+400.000	0.893	0.019	0.897	0.002	0.894	0.905	0.900	0.897
  +1.566	  +2.500	+300.000	+400.000	0.853	0.032	0.862	0.003	0.853	0.875	0.870	0.863
  +0.000	  +0.800	+400.000	+500.000	0.876	0.029	0.925	0.001	0.818	0.906	0.930	0.925
  +0.800	  +1.566	+400.000	+500.000	0.932	0.027	0.904	0.002	0.936	0.950	0.861	0.904
  +1.566	  +2.500	+400.000	+500.000	0.872	0.042	0.868	0.005	0.880	0.871	0.919	0.868
  +0.000	  +0.800	+500.000	+1000.000	0.904	0.038	0.931	0.001	0.889	0.942	0.931	0.932
  +0.800	  +1.566	+500.000	+1000.000	0.838	0.073	0.913	0.002	0.901	0.968	0.909	0.913
  +1.566	  +2.500	+500.000	+1000.000	0.974	0.038	0.889	0.005	0.974	0.973	0.824	0.889
